,words,ner,task
32,"['5', '.', 'Какова', 'длительность', 'приѐма', 'препаратов', 'железа', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",271
33,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '336', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '272', '[', 'K000307', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'У', 'больной', '35', 'лет', ',', 'находившейся', 'на', 'лечении', 'в', 'урологическом', 'отделении', 'по', 'поводу', 'мочекаменной', 'болезни', ',', 'повысилась', 'температура', 'до', '39', 'ºС', ',', 'озноб', ',', 'симптом', 'поколачивания', 'резко', 'положительный', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O']",272
34,"['В', 'общем', 'анализе', 'мочи', 'признаки', 'инфекции', 'мочевых', 'путей', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",272
35,"['Поставлен', 'диагноз', '«', 'острый', 'пиелонефрит', '»', 'на', 'фоне', 'мочекаменной', 'болезни', ',', 'в', 'баклабораторию', 'отправлен', 'материал', 'для', 'посева', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
36,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",272
37,"['Препарат', 'какой', 'группы', 'антибактериальных', 'химиотерапевтических', 'средств', 'Вы', 'бы', 'рекомендовали', 'пациентке', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
38,"['Обоснуйте', 'свой', 'выбор', '2', '.']","['O', 'O', 'O', 'O', 'O']",272
39,"['Через', '2', 'дня', 'антибиотикотерапии', 'клинический', 'эффект', 'незначительный', ',', 'бактериологически', 'выяснено', ',', 'что', 'кишечная', 'палочка', '–', 'продуцент', 'ß-лактамаз', 'расширенного', 'спектра', ',', 'разрушающего', 'все', 'пенициллины', 'и', 'цефалоспорины', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
40,"['Предложите', 'выбор', 'антибиотика', '.']","['O', 'O', 'O', 'O']",272
41,"['3', '.', 'Данные', 'бактериологического', 'анализа', 'показали', 'чувствительность', 'кишечной', 'палочки', 'к', 'Имипенему', 'и', 'Меропенему', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
42,"['Какой', 'из', 'них', 'назначить', 'больной', '?']","['O', 'O', 'O', 'O', 'O', 'O']",272
43,"['4', '.', 'На', '4', 'день', 'применения', 'Меропенема', 'появилась', 'крапивница', ',', 'отѐк', 'Квинке', ',', 'в', 'связи', 'с', 'чем', 'препарат', 'отменѐн', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
44,"['Предложите', 'замену', 'препарата', '.']","['O', 'O', 'O', 'O']",272
45,"['5', '.', 'Какой', 'длительности', 'должен', 'быть', 'курс', 'антибиотикотерапии', 'при', 'осложнѐнном', 'пиелонефрите', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
46,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '337', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '273', '[', 'K000309', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больному', '52', 'лет', 'поставлен', 'диагноз', '«', 'ишемическая', 'болезнь', 'сердца', '(', 'ИБС', ')', ',', 'стенокардия', 'напряжения', 'стабильная', ',', 'ФК', 'II', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
47,"['С', '30', 'лет', 'страдает', 'атопической', 'бронхиальной', 'астмой', 'средней', 'тяжести', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
48,"['В', 'качестве', 'базисной', 'терапии', 'получает', 'Серетид', 'ингаляционно', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
49,"['Приступы', 'астмы', 'купируются', 'Сальбутамолом', '.']","['O', 'O', 'O', 'O', 'O']",273
50,"['По', 'поводу', 'ИБС', 'начал', 'получать', 'Метопролол', 'по', '25', 'мг', '2', 'раза', 'в', 'день', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
51,"['На', 'второй', 'день', 'начала', 'приѐма', 'Метопролола', 'у', 'больного', 'участились', 'приступы', 'астмы', ',', 'наблюдается', 'снижение', 'пиковой', 'объѐмной', 'скорости', 'выдоха', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",273
52,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",273
53,"['Предположите', 'причину', 'учащения', 'приступов', 'астмы', 'и', 'снижения', 'пиковой', 'скорости', 'выдоха', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
54,"['2', '.', 'Предположите', 'альтернативные', 'антиангинальные', 'препараты', 'в', 'данной', 'ситуации', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
55,"['3', '.', 'Какие', 'нежелательные', 'эффекты', 'может', 'вызвать', 'Верапамил', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
56,"['4', '.', 'При', 'ЭХО-кардиографии', 'у', 'больного', 'обнаружена', 'фракция', 'выброса', '35%', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
57,"['Верапамил', 'отменѐн', '.']","['O', 'O', 'O']",273
58,"['Предложите', 'антиангинальную', 'терапию', '.']","['O', 'O', 'O', 'O']",273
59,"['5', '.', 'Бисопролол', 'также', 'обладает', 'отрицательным', 'инотропным', 'действием', ',', 'будет', 'ли', 'латентная', 'сердечная', 'недостаточность', 'противопоказанием', 'к', 'применению', 'Бисопролола', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
60,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '338', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '274', '[', 'K000311', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', '65', 'лет', 'с', 'диагнозом', '«', 'гипертоническая', 'болезнь', 'II', 'степени', ',', 'ИБС', ',', 'стенокардия', 'напряжения', 'стабильная', ',', 'ФК', 'II', ',', 'гиперлипидемия', '(', 'ОХС', '–', '6', 'ммоль', '/', 'л', ',', 'ЛПНП', '–', '4', 'ммоль', '/', 'л', ',', 'ЛПВП', '–', '1,0', 'ммоль', '/', 'л', ')', ',', 'хроническая', 'сердечная', 'недостаточность', '(', 'ХСН', ')', 'II', 'стадия', ',', 'ФК', 'II', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",274
61,"['АД', '–', '135', '/', '95', 'мм', 'рт', '.', 'ст', '.', ',', 'имеется', 'фибрилляция', 'предсердий', ',', 'постоянная', 'форма', ',', 'ЧСЖ', '–', '85', 'уд', '/', 'мин', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",274
62,"['Больной', 'получает', 'лечение', ':', 'Эналаприл', 'по', '5', 'мг', '2', 'раза', ',', 'Нифедипин', 'по', '10', 'мг', '2', 'раза', ',', 'Изосорбитадинитрат', 'пролонгированный', '40', 'мг', '2', 'раза', ',', 'Гипотиазид', '25', 'мг', '1', 'раз', 'утром', ',', 'Дигоксин', '0,25', 'мг', '1', 'раз', 'в', 'сутки', ',', 'Верапамил', 'по', '120', 'мг', '3', 'раза', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",274
63,"['Состояние', 'больного', 'не', 'улучшается', '.']","['O', 'O', 'O', 'O', 'O']",274
64,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",274
65,"['Оцените', 'обоснованность', 'получаемых', 'препаратов', '.']","['O', 'O', 'O', 'O', 'O']",274
66,"['2', '.', 'Какая', 'группа', 'препаратов', 'является', 'важнейшей', 'при', 'ИБС', ',', 'ХСН', 'и', 'фибрилляции', 'предсердий', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",274
67,"['3', '.', 'Какие', 'осложнения', 'возможны', 'при', 'постоянной', 'форме', 'фибрилляции', 'предсердий', ',', 'и', 'какие', 'меры', 'профилактики', 'должны', 'быть', 'предприняты', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",274
68,"['4', '.', 'Какой', 'антикоагулянт', 'необходим', 'и', 'каковы', 'меры', 'контроля', 'эффективности', 'и', 'безопасности', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",274
69,"['5', '.', 'Каковы', 'меры', 'по', 'борьбе', 'с', 'гиперлипидемией', 'у', 'больного', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",274
85,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '340', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '276', '[', 'K000317', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больная', 'В', '.', '38', 'лет', 'обратилась', 'за', 'консультацией', 'к', 'врачу-терапевту', 'участковому', 'с', 'жалобами', 'на', 'появление', 'участков', 'покраснения', 'в', 'области', 'передней', 'поверхности', 'левого', 'бедра', ',', 'правого', 'плеча', ',', 'боль', 'в', 'левом', 'тазобедренном', 'суставе', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",276
86,"['Анамнез', 'болезни', ':', 'врачом', 'выяснено', ',', 'что', 'заболела', 'четыре', 'месяца', 'назад', ',', 'когда', 'обнаружила', 'красное', 'пятно', 'на', 'передней', 'поверхности', 'левого', 'бедра', ',', 'которое', 'в', 'течение', '2', '–', '3', 'дней', 'резко', 'увеличивалось', 'в', 'размере', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",276
87,"['В', 'области', 'эритемы', 'отмечался', 'лѐгкий', 'зуд', ',', 'общее', 'самочувствие', 'не', 'нарушалось', '.']","['O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O', 'O', 'O', 'O', 'O', 'O']",276
88,"['Проводилось', 'обследование', 'у', 'врача-дерматолога', ',', 'получала', 'местное', 'лечение', '(', 'препараты', 'назвать', 'затрудняется', ')', ',', 'принимала', 'антигистаминные', 'средства', ',', 'улучшения', 'не', 'отмечалось', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",276
89,"['Через', 'три', 'месяца', 'подобное', 'изменение', 'на', 'коже', 'появилось', 'на', 'правом', 'плече', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",276
90,"['Через', 'четыре', 'месяца', 'появилась', 'боль', 'в', 'левом', 'тазобедренном', 'суставе', '.']","['O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",276
91,"['Боль', 'в', 'суставе', 'выраженная', ',', 'трудно', 'было', 'ходить', ',', 'по', 'поводу', 'чего', 'больная', 'проходила', 'обследование', 'и', 'лечение', 'в', 'ревматологическом', 'отделении', ',', 'без', 'улучшения', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",276
92,"['Направлена', 'на', 'консультацию', 'к', 'инфекционисту', '.']","['O', 'O', 'O', 'O', 'O', 'O']",276
93,"['Эпидемиологический', 'анамнез', ':', 'за', '12', 'дней', 'до', 'появления', 'эритемы', 'на', 'бедре', 'была', 'в', 'лесу', ',', 'на', 'следующий', 'день', 'обнаружила', 'присосавшегося', 'клеща', 'на', 'передней', 'поверхности', 'левого', 'бедра', ',', 'которого', 'удалила', 'пинцетом', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",276
94,"['Объективно', ':', 'состояние', 'удовлетворительное', '.']","['O', 'O', 'PHY-START', 'PHY', 'O']",276
95,"['Кожные', 'покровы', 'обычной', 'окраски', ',', 'выявлен', 'участок', 'гиперемии', 'кольцевидной', 'формы', '25', 'см', 'в', 'диаметре', 'на', 'передней', 'поверхности', 'левого', 'бедра', 'и', '15', 'см', 'на', 'правом', 'плече', ',', 'с', 'интенсивно', 'красными', 'и', 'поднимающимися', 'над', 'непоражѐнной', 'кожей', 'краями', ',', 'в', 'центре', 'эритема', 'бледная', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",276
96,"['Местного', 'повышения', 'температуры', ',', 'болезненности', 'в', 'области', 'эритемы', 'нет', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",276
97,"['Над', 'левым', 'тазобедренным', 'суставом', 'отѐка', ',', 'гиперемии', 'нет', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'O']",276
98,"['В', 'лѐгких', 'дыхание', 'везикулярное', ',', 'хрипов', 'нет', '.']","['O', 'O', 'PHY-START', 'PHY', 'O', 'PHY-START', 'PHY', 'O']",276
99,"['Тоны', 'сердца', 'ясные', ',', 'ритмичные', ',', 'ЧСС', '–', '70', 'уд', '/', 'мин', ',', 'АД', '–', '120', '/', '80', 'мм', 'рт', '.', 'ст', '.', 'Живот', 'мягкий', ',', 'при', 'пальпации', 'безболезненный', 'во', 'всех', 'отделах', '.']","['PHY-START', 'PHY', 'PHY', 'O', 'PHY-START', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",276
100,"['Печень', 'и', 'селезѐнка', 'не', 'увеличены', '.']","['PHY-START', 'O', 'PHY-START', 'PHY', 'PHY', 'O']",276
101,"['Поколачивание', 'по', 'поясничной', 'области', 'безболезненное', 'с', 'обеих', 'сторон', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",276
102,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",276
103,"['Предположите', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",276
104,"['2', '.', 'Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",276
105,"['3', '.', 'Составьте', 'и', 'обоснуйте', 'план', 'обследования', 'пациента', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",276
106,"['4', '.', 'Препараты', 'каких', 'групп', 'Вы', 'бы', 'рекомендовали', 'пациенту', 'в', 'качестве', 'этиотропной', 'терапии', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",276
107,"['Определите', 'курс', 'лечения', '.']","['O', 'O', 'O', 'O']",276
108,"['Обоснуйте', 'свой', 'выбор', '.']","['O', 'O', 'O', 'O']",276
109,"['5', '.', 'Назовите', 'методы', 'профилактики', 'данного', 'заболевания', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",276
110,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '341', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '277', '[', 'K000320', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'М', '.', '27', 'лет', 'обратился', 'к', 'врачу-терапевту', 'участковому', 'на', '2', 'день', 'болезни', 'с', 'жалобами', 'на', 'сильную', 'головную', 'боль', 'в', 'лобной', 'области', ',', 'боли', 'в', 'глазных', 'яблоках', ',', 'мышцах', 'и', 'суставах', ',', 'общую', 'слабость', ',', 'отсутствие', 'аппетита', ',', 'частый', 'сухой', 'кашель', ',', 'заложенность', 'носа', 'и', 'незначительные', 'выделения', 'из', 'носа', ',', 'чувство', 'першения', 'и', 'царапанье', 'за', 'грудиной', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",277
111,"['Анамнез', 'заболевания', ':', 'заболел', '15.01', '.', 'в', 'первой', 'половине', 'дня', ',', 'когда', 'почувствовал', 'озноб', ',', 'повысилась', 'температура', 'до', '39,0', '°', 'С', ',', 'появилась', 'головная', 'боль', 'в', 'области', 'лба', ',', 'боль', 'при', 'движении', 'глазными', 'яблоками', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",277
112,"['Ночью', 'не', 'спал', ',', 'озноб', 'сменялся', 'чувством', 'жара', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O']",277
113,"['На', 'следующий', 'день', 'появился', 'сухой', 'кашель', ',', 'заложенность', 'носа', ',', 'чувство', 'першения', 'за', 'грудиной', ',', 'температура', 'повысилась', 'до', '39,5', '°', 'С', ',', 'головная', 'боль', 'усилилась', '.']","['O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",277
114,"['Эпидемиологический', 'анамнез', ':', 'за', '2', 'дня', 'до', 'заболевания', 'навещал', 'друзей', 'в', 'общежитии', ',', 'среди', 'которых', 'были', 'лица', 'с', 'подобными', 'симптомами', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
115,"['Объективно', ':', 'состояние', 'средней', 'степени', 'тяжести', ',', 'сознание', 'ясное', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHY-START', 'PHY', 'O']",277
116,"['Лицо', 'одутловатое', ',', 'несколько', 'гиперемировано', '.']","['PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O']",277
117,"['На', 'теле', 'сыпи', 'нет', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'O']",277
118,"['Носовое', 'дыхание', 'затруднено', '.']","['PAT-START', 'PAT', 'PAT', 'O']",277
