,words,ner,task
46,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '337', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '273', '[', 'K000309', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больному', '52', 'лет', 'поставлен', 'диагноз', '«', 'ишемическая', 'болезнь', 'сердца', '(', 'ИБС', ')', ',', 'стенокардия', 'напряжения', 'стабильная', ',', 'ФК', 'II', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
47,"['С', '30', 'лет', 'страдает', 'атопической', 'бронхиальной', 'астмой', 'средней', 'тяжести', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
48,"['В', 'качестве', 'базисной', 'терапии', 'получает', 'Серетид', 'ингаляционно', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
49,"['Приступы', 'астмы', 'купируются', 'Сальбутамолом', '.']","['O', 'O', 'O', 'O', 'O']",273
50,"['По', 'поводу', 'ИБС', 'начал', 'получать', 'Метопролол', 'по', '25', 'мг', '2', 'раза', 'в', 'день', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
51,"['На', 'второй', 'день', 'начала', 'приѐма', 'Метопролола', 'у', 'больного', 'участились', 'приступы', 'астмы', ',', 'наблюдается', 'снижение', 'пиковой', 'объѐмной', 'скорости', 'выдоха', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",273
52,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",273
53,"['Предположите', 'причину', 'учащения', 'приступов', 'астмы', 'и', 'снижения', 'пиковой', 'скорости', 'выдоха', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
54,"['2', '.', 'Предположите', 'альтернативные', 'антиангинальные', 'препараты', 'в', 'данной', 'ситуации', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
55,"['3', '.', 'Какие', 'нежелательные', 'эффекты', 'может', 'вызвать', 'Верапамил', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
56,"['4', '.', 'При', 'ЭХО-кардиографии', 'у', 'больного', 'обнаружена', 'фракция', 'выброса', '35%', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
57,"['Верапамил', 'отменѐн', '.']","['O', 'O', 'O']",273
58,"['Предложите', 'антиангинальную', 'терапию', '.']","['O', 'O', 'O', 'O']",273
59,"['5', '.', 'Бисопролол', 'также', 'обладает', 'отрицательным', 'инотропным', 'действием', ',', 'будет', 'ли', 'латентная', 'сердечная', 'недостаточность', 'противопоказанием', 'к', 'применению', 'Бисопролола', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
70,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '339', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '275', '[', 'K000314', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'К', '.', '45', 'лет', 'обратился', 'в', 'поликлинику', 'к', 'врачу-терапевту', 'участковому', 'с', 'жалобами', 'на', 'головокружение', ',', 'перебои', 'в', 'работе', 'сердца', ',', 'мелькание', '«', 'мушек', '»', 'перед', 'глазами', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",275
71,"['В', 'течение', '5', 'лет', 'страдает', 'гипертонической', 'болезнью', ',', 'эпизодически', 'при', 'повышении', 'АД', 'принимает', 'Каптоприл', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",275
72,"['Сегодня', 'после', 'тяжѐлой', 'физической', 'нагрузки', '(', 'поднял', 'шкаф', 'на', '2', 'этаж', ')', 'появилось', 'подобное', 'состояние', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",275
73,"['Объективно', ':', 'кожные', 'покровы', 'лица', 'и', 'верхней', 'половины', 'туловища', 'гиперемированы', '.']","['O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",275
74,"['Тоны', 'сердца', 'аритмичные', ',', 'ЧСС', '–', '120', 'уд', '/', 'мин', ',', 'частые', 'экстрасистолы', '.']","['PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O']",275
75,"['АД', '–', '180', '/', '100', 'мм', 'рт', 'ст', '.', 'В', 'лѐгких', 'дыхание', 'проводится', 'во', 'все', 'отделы', ',', 'хрипов', 'не', 'слышно', ',', 'ЧД', '–', '18', 'в', 'мин', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",275
76,"['Периферических', 'отѐков', 'нет', '.']","['PHY-START', 'PHY', 'PHY', 'O']",275
77,"['На', 'ЭКГ', ':', 'синусовый', 'ритм', ',', 'прерываемый', 'частыми', 'предсердными', 'экстрасистолами', ',', 'признаки', 'гипертрофии', 'левого', 'желудочка', ',', 'ЧСС', '–', '120', 'уд', '/', 'мин', '.']","['O', 'O', 'O', 'PHY-START', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",275
78,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",275
79,"['Выделите', 'ведущие', 'клинические', 'синдромы', '.']","['O', 'O', 'O', 'O', 'O']",275
80,"['2', '.', 'Поставьте', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",275
81,"['3', '.', 'Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",275
82,"['4', '.', 'Препараты', 'выбора', 'для', 'купирования', 'гипертонического', 'криза', 'у', 'данного', 'больного', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",275
83,"['Обоснуйте', 'свой', 'выбор', '.']","['O', 'O', 'O', 'O']",275
84,"['5', '.', 'Плановое', 'лечение', 'гипертонической', 'болезни', 'у', 'данного', 'больного', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",275
110,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '341', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '277', '[', 'K000320', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'М', '.', '27', 'лет', 'обратился', 'к', 'врачу-терапевту', 'участковому', 'на', '2', 'день', 'болезни', 'с', 'жалобами', 'на', 'сильную', 'головную', 'боль', 'в', 'лобной', 'области', ',', 'боли', 'в', 'глазных', 'яблоках', ',', 'мышцах', 'и', 'суставах', ',', 'общую', 'слабость', ',', 'отсутствие', 'аппетита', ',', 'частый', 'сухой', 'кашель', ',', 'заложенность', 'носа', 'и', 'незначительные', 'выделения', 'из', 'носа', ',', 'чувство', 'першения', 'и', 'царапанье', 'за', 'грудиной', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",277
111,"['Анамнез', 'заболевания', ':', 'заболел', '15.01', '.', 'в', 'первой', 'половине', 'дня', ',', 'когда', 'почувствовал', 'озноб', ',', 'повысилась', 'температура', 'до', '39,0', '°', 'С', ',', 'появилась', 'головная', 'боль', 'в', 'области', 'лба', ',', 'боль', 'при', 'движении', 'глазными', 'яблоками', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",277
112,"['Ночью', 'не', 'спал', ',', 'озноб', 'сменялся', 'чувством', 'жара', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O']",277
113,"['На', 'следующий', 'день', 'появился', 'сухой', 'кашель', ',', 'заложенность', 'носа', ',', 'чувство', 'першения', 'за', 'грудиной', ',', 'температура', 'повысилась', 'до', '39,5', '°', 'С', ',', 'головная', 'боль', 'усилилась', '.']","['O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",277
114,"['Эпидемиологический', 'анамнез', ':', 'за', '2', 'дня', 'до', 'заболевания', 'навещал', 'друзей', 'в', 'общежитии', ',', 'среди', 'которых', 'были', 'лица', 'с', 'подобными', 'симптомами', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
115,"['Объективно', ':', 'состояние', 'средней', 'степени', 'тяжести', ',', 'сознание', 'ясное', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHY-START', 'PHY', 'O']",277
116,"['Лицо', 'одутловатое', ',', 'несколько', 'гиперемировано', '.']","['PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O']",277
117,"['На', 'теле', 'сыпи', 'нет', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'O']",277
118,"['Носовое', 'дыхание', 'затруднено', '.']","['PAT-START', 'PAT', 'PAT', 'O']",277
119,"['В', 'зеве', 'разлитая', 'яркая', 'гиперемия', 'задней', 'стенки', 'глотки', 'и', 'еѐ', 'зернистость', ',', 'отмечаются', 'единичные', 'кровоизлияния', 'на', 'слизистой', 'мягкого', 'нѐба', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",277
120,"['В', 'лѐгких', '–', 'жѐсткое', 'дыхание', ',', 'единичные', 'сухие', 'хрипы', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",277
121,"['Пульс', '–', '102', 'уд', '/', 'мин', ',', 'ритмичный', ',', 'АД', '–', '115', '/', '80', 'мм', 'рт.ст', '.', 'Тоны', 'сердца', 'приглушены', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY-START', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PAT-START', 'PAT', 'PAT', 'O']",277
122,"['Живот', 'мягкий', ',', 'безболезненный', '.']","['PHY-START', 'PHY', 'O', 'PHY-START', 'O']",277
123,"['Печень', 'и', 'селезѐнка', 'не', 'увеличены', '.']","['PHY-START', 'O', 'PHY-START', 'PHY', 'PHY', 'O']",277
124,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",277
125,"['Предположите', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",277
126,"['2', '.', 'Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",277
127,"['3', '.', 'Составьте', 'план', 'лабораторного', 'обследования', 'больного', 'для', 'верификации', 'диагноза', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
128,"['4', '.', 'Какие', 'противовирусные', 'препараты', 'Вы', 'бы', 'рекомендовали', 'пациенту', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
129,"['Назовите', 'механизм', 'их', 'действия', 'на', 'вирусы', 'гриппа', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
130,"['Обоснуйте', 'свой', 'выбор', '.']","['O', 'O', 'O', 'O']",277
131,"['5', '.', 'Кто', 'подлежит', 'обязательной', 'вакцинации', 'против', 'гриппа', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",277
132,"['Назовите', 'современные', 'вакцины', 'для', 'профилактики', 'гриппа', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",277
160,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '343', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '279', '[', 'K000323', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'Е', '.', '32', 'года', ',', 'бизнесмен', ',', 'госпитализирован', 'на', '2', 'день', 'болезни', 'с', 'диагнозом', '«', 'грипп', ',', 'гипертоксическая', 'форма', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",279
