,words,ner,task
82,"['4', '.', 'Препараты', 'выбора', 'для', 'купирования', 'гипертонического', 'криза', 'у', 'данного', 'больного', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",275
83,"['Обоснуйте', 'свой', 'выбор', '.']","['O', 'O', 'O', 'O']",275
84,"['5', '.', 'Плановое', 'лечение', 'гипертонической', 'болезни', 'у', 'данного', 'больного', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",275
258,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '348', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '284', '[', 'K000349', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больная', 'С', '.', '44', 'лет', 'предъявляет', 'жалобы', 'на', 'головную', 'боль', ',', 'боль', 'в', 'глазных', 'яблоках', ',', 'ломоту', 'в', 'теле', ',', 'повышение', 'температуры', 'тела', 'до', '39', '°', 'С', ',', 'сухой', 'кашель', ',', 'заложенность', 'носа', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O']",284
259,"['Заболела', 'накануне', 'вечером', '.']","['O', 'O', 'O', 'O']",284
260,"['Объективно', ':', 'состояние', 'средней', 'тяжести', ',', 'лицо', 'гиперемировано', ',', 'склеры', 'инъецированы', ',', 'лимфатические', 'узлы', 'не', 'увеличены', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'O']",284
261,"['При', 'осмотре', 'ротоглотки', ':', 'миндалины', ',', 'язычок', ',', 'дужки', 'набухшие', ',', 'гиперемированы', ',', 'с', 'небольшим', 'цианотичным', 'оттенком', '.']","['O', 'O', 'O', 'O', 'PAT-START', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O']",284
262,"['В', 'лѐгких', 'при', 'аускультации', 'дыхание', 'везикулярное', '.']","['O', 'O', 'O', 'O', 'PHY-START', 'PHY', 'O']",284
263,"['Пульс', '–', '95', 'уд', '/', 'мин', ',', 'АД', '–', '100', '/', '70', 'мм', 'рт.ст', '.', 'Вопросы', ':', '1', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O', 'O']",284
264,"['Какой', 'предварительный', 'диагноз', 'можно', 'поставить', 'пациентке', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",284
265,"['2', '.', 'Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",284
266,"['3', '.', 'Составьте', 'и', 'обоснуйте', 'план', 'дополнительного', 'обследования', 'пациентки', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",284
267,"['4', '.', 'Препараты', 'какой', 'фармакологической', 'группы', 'Вы', 'бы', 'рекомендовали', 'пациентке', 'в', 'качестве', 'этиотропной', 'терапии', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",284
268,"['5', '.', 'Какие', 'клинические', 'проявления', 'у', 'пациентки', 'свидетельствуют', 'об', 'эффективности', 'этиотропной', 'терапии', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",284
352,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '354', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '290', '[', 'K000457', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больная', 'К', '.', '58', 'лет', 'страдает', 'артериальной', 'гипертензией', '(', 'АД', '–', '175', '/', '105', '–', '160', '/', '95', 'мм', 'рт', '.', 'ст', '.', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O', 'O']",290
353,"['Отмечает', 'повышение', 'АД', 'в', 'течение', '18', 'лет', '.']","['O', 'PAT-START', 'PAT', 'O', 'O', 'O', 'O', 'O']",290
354,"['Постоянно', 'принимает', 'Атенолол', '50', 'мг', 'в', 'сутки', ',', 'Гидрохлортиазид', '25', 'мг', 'в', 'сутки', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",290
355,"['За', 'последние', 'десять', 'лет', 'прибавила', 'в', 'весе', '30', 'кг', '.']","['O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",290
356,"['Объективно', ':', 'повышенного', 'питания', '.']","['O', 'O', 'PAT-START', 'PAT', 'O']",290
357,"['Рост', '158', 'см', ',', 'вес', '91', 'кг', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",290
358,"['Индекс', 'массы', 'тела', '–', '36,5', 'кг', '/', 'м²', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",290
359,"['Объѐм', 'талии', '120', 'см', ',', 'объѐм', 'бѐдер', '128', 'см', '.', 'Состояние', 'удовлетворительное', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O']",290
360,"['Кожные', 'покровы', 'чистые', '.']","['PHY-START', 'PHY', 'PHY', 'O']",290
361,"['Отѐков', 'нет', '.']","['PHY-START', 'PHY', 'O']",290
362,"['В', 'лѐгких', 'дыхание', 'везикулярное', ',', 'хрипов', 'нет', '.']","['O', 'O', 'PHY-START', 'PHY', 'O', 'PHY-START', 'PHY', 'O']",290
363,"['Тоны', 'сердца', 'приглушены', ',', 'ритм', 'правильный', '.']","['PAT-START', 'PAT', 'PAT', 'O', 'PHY-START', 'PHY', 'O']",290
364,"['ЧСС', '–', '90', 'уд', '/', 'мин', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",290
365,"['Живот', 'мягкий', ',', 'безболезненный', '.']","['PHY-START', 'PHY', 'O', 'PHY-START', 'O']",290
366,"['Печень', 'у', 'рѐберного', 'края', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'O']",290
367,"['Биохимический', 'анализ', 'крови', ':', 'холестерин', 'общий', '–', '7,2', 'ммоль', '/', 'л', ';', 'триглицериды', '–', '3,12', 'ммоль', '/', 'л', ';']","['O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",290
368,"['ХС-ЛПВП', '–', '0,9', 'ммоль', '/', 'л', ';', 'креатинин', '–', '95,9', 'мкмоль', '/', 'л', ';', 'глюкоза', 'крови', 'натощак', '–', '6,3', 'ммоль', '/', 'л', ';', 'через', '2', 'часа', 'после', 'приѐма', '75', 'г', 'глюкозы', '–', '9,0', 'ммоль', '/', 'л', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",290
369,"['Общий', 'анализ', 'мочи', ':', 'цвет', '–', '«', 'соломенно-жѐлтый', '»', ',', 'относительная', 'плотность', '–', '1014', ',', 'прозрачная', ',', 'реакция', 'кислая', ',', 'белок', ',', 'сахар', 'отсутствуют', ',', 'лейкоциты', '–', 'единичные', 'в', 'поле', 'зрения', '.']","['O', 'O', 'O', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'O', 'PHY-START', 'PHY', 'O', 'PHY-START', 'O', 'PHY-START', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",290
370,"['Анализ', 'мочи', 'на', 'микроальбуминурию', '–', '200', 'мг', '/', 'сутки', '.']","['PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",290
371,"['СКФ', ':', '81,7', 'мл', '/', 'мин', 'по', 'формуле', 'Кокрофта-Голта', '.']","['O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",290
372,"['ЭКГ', ':', 'ритм', 'синусовый', ',', 'ЧСС', '–', '70', 'уд', '/', 'мин', ',', 'гипертрофия', 'левого', 'желудочка', '.']","['O', 'O', 'PHY-START', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",290
373,"['ЭХО-КГ', ':', 'клапанной', 'патологии', 'не', 'выявлено', ',', 'полости', 'сердца', 'не', 'расширены', ',', 'индекс', 'массы', 'миокарда', 'левого', 'желудочка', '121', 'г', '/', 'м²', ',', 'признаки', 'диастолической', 'дисфункции', ',', 'ФВ', '–', '65%', '.']","['O', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O', 'PHY-START', 'PHY', 'PHY', 'O']",290
374,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",290
375,"['Предположите', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",290
376,"['2', '.', 'Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",290
377,"['3', '.', 'Составьте', 'и', 'обоснуйте', 'план', 'дополнительного', 'обследования', 'пациента', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",290
378,"['4', '.', 'Какие', 'группы', 'антигипертензивных', 'препаратов', 'Вы', 'бы', 'рекомендовали', 'пациенту', 'в', 'составе', 'комбинированной', 'терапии', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",290
379,"['Правильно', 'ли', 'назначена', 'комбинация', 'бета', '-', 'блокатор', 'и', 'диуретик', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",290
380,"['Обоснуйте', 'свой', 'выбор', '.']","['O', 'O', 'O', 'O']",290
381,"['5', '.', 'Через', '6', 'месяцев', 'регулярной', 'антигипертензивной', 'терапии', '(', 'комбинация', 'Амлодипина', 'в', 'дозе', '10', 'мг', '/', 'сутки', 'и', 'препарата', 'из', 'группы', 'блокаторов', 'РААС', '(', 'ингибитор', 'АПФ', 'или', 'антагонист', 'рецепторов', 'к', 'ангиотензину', 'II', ')', '+', 'Розувостатин', '20', 'мг', '/', 'сутки', '+', 'соблюдение', 'диеты', '–', 'АД', 'в', 'пределах', '120', '–', '130', '/', '70', '–', '80', 'мм', 'рт.ст', '.', ',', 'глюкоза', 'натощак', '–', '5,4', 'ммоль', '/', 'л', ',', 'общий', 'холестерин', '–', '5,0', 'ммоль', '/', 'л', ',', 'ТГ', '–', '1,8', 'ммоль', '/', 'л', ',', 'ХС-ЛПВП', '–', '1,2', 'ммоль', '/', 'л', ',', 'креатинин', '–', '100', 'мкмоль', '/', 'л', ',', 'СКФ', '(', 'по', 'формуле', 'Кокрофта-Голта', ')', '=', '65,3', 'мл', '/', 'мин', ';', 'альбуминурия', '–', '10', 'мг', '/', 'сутки', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",290
382,"['Какова', 'Ваша', 'дальнейшая', 'лечебная', 'тактика', '?']","['O', 'O', 'O', 'O', 'O', 'O']",290
383,"['Обоснуйте', 'Ваш', 'выбор', '.']","['O', 'O', 'O', 'O']",290
440,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '358', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '293', '[', 'K000460', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'Р', '.', '65', 'лет', ',', 'пенсионер', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",293
