,id,words,ner,task
189,610,"['Артериальное', 'давление', '–', '150', '/', '90', 'мм', 'рт', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT']",304
193,453,"['Какова', 'Ваша', 'дальнейшая', 'лечебная', 'тактика', '?']","['O', 'O', 'O', 'O', 'O', 'O']",294
195,289,"['Какова', 'будет', 'терапевтическая', 'тактика', 'на', 'этапе', 'оказания', 'амбулаторно', '-', 'поликлинической', 'помощи', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",287
196,347,"['Составьте', 'и', 'обоснуйте', 'план', 'дополнительного', 'обследования', 'пациента', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",290
202,679,"['В', 'течение', 'последних', 'суток', 'одышка', 'не', 'исчезает', '.']","['O', 'O', 'O', 'O', 'PAT', 'O', 'O', 'O']",308
205,653,"['Жалобы', 'на', 'мучительный', 'сухой', 'кашель', 'с', 'отделением', 'небольшого', 'количества', 'вязкой', 'слизистой', 'мокроты', ',', 'одышку', ',', 'боль', 'в', 'левом', 'боку', 'при', 'глубоком', 'дыхании', 'и', 'кашле', ',', 'резкую', 'общую', 'слабость', '.']","['O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",307
207,512,"['Составьте', 'и', 'обоснуйте', 'план', 'лечения', 'пациента', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",298
208,404,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '358', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '293', '[', 'K000460', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'Р', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",293
229,711,"['Объективно', ':', 'состояние', 'средней', 'тяжести', ',', 'бледность', 'кожи', ',', 'акроцианоз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'O', 'PAT', 'O']",310
237,86,"['Местного', 'повышения', 'температуры', ',', 'болезненности', 'в', 'области', 'эритемы', 'нет', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",276
239,288,"['Назовите', 'заболевания', ',', 'с', 'которыми', 'необходимо', 'проводить', 'дифференциальную', 'диагностику', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",287
240,401,"['Какие', 'группы', 'антибиотиков', 'рекомендованы', 'пациенту', 'для', 'стартовой', 'антибактериальной', 'терапии', ';', 'проведите', 'стратификацию', 'тяжести', 'заболевания', 'и', 'факторов', 'риска', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",292
246,521,"[',', 'СОЭ', '–', '66', 'мм', '/', 'час', ';', 'лейкоцитарная', 'формула', ':', 'палочкоядерные', '–', '9%', ',', 'сегментоядерные', '–', '65,2%', ',', 'лимфоциты', '–', '12,3%', ',', 'эозинофилы', '–', '3,1%', ',', 'моноциты', '–', '10%', ',', 'базофилы', '–', '0,4%', '.']","['O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'O']",299
252,765,"['В', 'общем', 'анализе', 'крови', ':', 'СОЭ', '–', '25', 'мм', '\\', 'час', '.']","['O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",313
253,141,"['Биохимические', 'показатели', ':', 'билирубин', 'общий', '–', '160', 'ммоль', '/', 'л', ',', 'прямой', '–', '102', 'ммоль', '/', 'л', ',', 'непрямой', '–', '58', 'ммоль', '/', 'л', ',', 'АлТ', '–', '640', 'МЕ', '/', 'л', ',', 'АсТ', '–', '488', 'ммоль', '/', 'л', ',', 'щѐлочная', 'фосфатаза', '–', '102', 'ед', ',', 'протромбиновый', 'индекс', '–', '60%', '.']","['O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",278
259,738,"['Какое', 'лечение', 'следует', 'назначить', 'данному', 'больному', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",311
261,351,"[',', 'глюкоза', 'натощак', '–', '5,4', 'ммоль', '/', 'л', ',', 'общий', 'холестерин', '–', '5,0', 'ммоль', '/', 'л', ',', 'ТГ', '–', '1,8', 'ммоль', '/', 'л', ',', 'ХС-ЛПВП', '–', '1,2', 'ммоль', '/', 'л', ',', 'креатинин', '–', '100', 'мкмоль', '/', 'л', ',', 'СКФ', '(', 'по', 'формуле', 'Кокрофта-Голта', ')', '=', '65,3', 'мл', '/', 'мин', ';', 'альбуминурия', '–', '10', 'мг', '/', 'сутки', '.']","['O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",290
265,751,"['Какое', 'лечение', 'следует', 'назначить', 'данному', 'больному', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",312
267,55,"['Состояние', 'больного', 'не', 'улучшается', '.']","['O', 'O', 'O', 'O', 'O']",274
268,583,"['В', 'лѐгких', 'дыхание', 'везикулярное', '.']","['O', 'O', 'PHY', 'PHY', 'O']",303
269,779,"['Копрологический', 'анализ', '–', 'без', 'существенных', 'патологических', 'признаков', ',', 'однако', 'обнаруживается', 'большое', 'количество', 'слизи', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",314
290,234,"['При', 'осмотре', 'ротоглотки', ':', 'миндалины', ',', 'язычок', ',', 'дужки', 'набухшие', ',', 'гиперемированы', ',', 'с', 'небольшим', 'цианотичным', 'оттенком', '.']","['O', 'O', 'O', 'O', 'PAT', 'O', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",284
294,498,"['Составьте', 'план', 'и', 'обоснуйте', 'план', 'лечения', 'пациента', '(', 'укажите', 'препараты', 'выбора', ',', 'диета', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",297
299,71,"['Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",275
302,599,"['Получала', 'нерегулярно', 'Преднизолон', '30', 'мг', 'в', 'сутки', ',', 'но', 'в', 'дальнейшем', 'от', 'лечения', 'отказалась', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",304
304,767,"['Какие', 'исследования', 'необходимы', 'для', 'подтверждения', 'диагноза', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",313
315,160,"['При', 'спинномозговой', 'пункции', 'получена', 'под', 'высоким', 'давлением', 'мутная', 'жидкость', 'с', 'высоким', 'нейтрофильным', '(', '99%', ')', 'плеоцитозом', '–', '15400', 'кл', '/', 'мл', ';', 'белок', '–', '2,64', 'г', '/', 'л', ';', 'реакция', 'Панди', '(', '+', '+', '+', '+', ')', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",279
317,261,"['Лечился', 'амбулаторно', ',', 'диагноз', '«', 'ОРВИ', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",286
321,406,"['При', 'обращении', 'к', 'врачу-терапевту', 'участковому', 'предъявляет', 'жалобы', 'на', 'повышение', 'температуры', 'тела', 'до', '38', '°', 'С', ',', 'небольшую', 'мокроту', 'слизистого', 'характера', ',', 'головную', 'боль', ',', 'одышку', ',', 'сердцебиение', 'и', 'слабость', 'в', 'конечностях', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'O', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",293
324,488,"['Предложите', 'рекомендации', 'по', 'оптимизации', 'антибактериальной', 'терапии', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",296
325,11,"['В', 'глотке', 'определяется', 'гиперемия', 'слизистой', 'оболочки', ',', 'инфильтрация', 'паратонзиллярной', 'области', 'справа', ',', 'асимметрия', 'зева', 'за', 'счѐт', 'смещения', 'правой', 'миндалин', 'медиально', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
330,675,"['В', 'процессе', 'лечения', 'неоднократно', 'применялись', 'короткие', 'курсы', 'кортикостероидной', 'терапии', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",308
337,685,"['Дыхание', 'резко', 'ослаблено', ',', 'местами', 'определяется', 'с', 'трудом', '.']","['PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",308
343,568,"['ЧДД', '–', '17', 'в', 'мин', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",302
347,178,"['Печень', 'и', 'селезѐнка', 'не', 'увеличены', '.']","['PHY', 'O', 'PHY', 'PHY', 'PHY', 'O']",280
363,93,"['Предположите', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",276
369,111,"['Живот', 'мягкий', ',', 'безболезненный', '.']","['PHY', 'PHY', 'O', 'PHY', 'O']",277
373,167,"['АД', '–', '100', '/', '60', 'мм', 'рт.ст', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",279
376,727,"['Иногда', 'замечала', 'в', 'мокроте', 'прожилки', 'крови', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",311
381,4,"['Задняя', 'стенка', 'глотки', 'умеренно', 'гиперемирована', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
385,694,"['С', 'какими', 'заболеваниями', 'следует', 'провести', 'дифференциальный', 'диагноз', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",308
392,517,"['Температура', 'тела', 'достигает', '39', '–', '40', '°', 'С', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",299
405,547,"['Месяц', 'тому', 'назад', 'вышла', 'замуж', '.']","['O', 'O', 'O', 'O', 'O', 'O']",301
411,542,"['Какое', 'лечение', 'следует', 'назначить', 'данному', 'больному', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",300
412,248,"['Тоны', 'сердца', 'приглушены', ',', 'АД', '–', '90', '/', '60', 'мм', 'рт.ст', '.']","['PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",285
414,784,"['Какие', 'симптомы', 'являются', 'обязательными', 'для', 'данного', 'заболевания', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",314
416,139,"['Печень', 'выступает', 'на', '2', 'см', 'из-под', 'края', 'рѐберной', 'дуги', ',', 'чувствительная', 'при', 'пальпации', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",278
417,24,"['Каковы', 'возможные', 'причины', 'неэффективности', 'антибиотикотерапии', '?']","['O', 'O', 'O', 'O', 'O', 'O']",271
419,698,"['Объективно', ':', 'состояние', 'средней', 'тяжести', ',', 'цианоз', ',', 'набухание', 'шейных', 'вен', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",309
423,414,"['В', 'лѐгких', 'дыхание', 'ослабленное', 'везикулярное', ',', 'множественные', 'влажные', 'мелкопузырчатые', 'хрипы', 'выслушиваются', 'в', 'нижнем', 'отделе', 'левого', 'лѐгкого', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",293
426,603,"['Объективно', ':', 'состояние', 'тяжѐлое', '.']","['O', 'O', 'O', 'O', 'O']",304
429,628,"['На', '5', 'день', 'лечения', 'состояние', 'больного', 'ухудшилось', ',', 'температура', 'тела', 'повысилась', 'до', '40,1', '°', 'С', ',', 'появилась', 'обильная', 'гнойная', 'мокрота', ',', 'наросли', 'признаки', 'интоксикации', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O', 'O']",305
431,202,"['Кровь', ':', 'эритроциты', '–', '3,5х10', '12', '/', 'л', ',', 'Нв', '–', '116', 'г', '/', 'л', ',', 'лейкоциты', '–', '7,8х10', '9', '/', 'л', ',', 'эозинофилы', '–', '1%', ',', 'палочкоядерные', '–', '8%', ',', 'сегментоядерные', '–', '53%', ',', 'лимфоциты', '–', '36%', ',', 'моноциты', '–', '2%', '.']","['O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'O']",281
