st_pos;end_pos;text;label
960;1121;. Больной получает лечение : Эналаприл по 5 мг 2 раза , Нифедипин по 10 мг 2 раза , Изосорбитадинитрат пролонгированный 40 мг 2 раза , Гипотиазид 25 мг 1 раз утром , Дигоксин 0,25 мг 1 раз в сутки , Верапамил по 120 мг 3 раза . Состояние больного не улучшается . Вопросы : 1 . Оцените обоснованность получаемых препаратов . 2 . Какая группа препаратов является важнейшей при ИБС , ХСН и фибрилляции предсердий ? 3 . Какие осложнения возможны при постоянной форме фибрилляции предсердий , и какие меры профилактики должны быть предприняты ? 4 . Какой антикоагулянт необходим и каковы меры контроля эффективности и безопасности ? 5 . Каковы меры по борьбе с гиперлипидемией у больного ? СЗ_Лечебное дело ( ч .4 ) – 2017 339 СИТУАЦИОННАЯ ЗАДАЧА 275 [ K000314 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть Больной К . 45 лет обратился в поликлинику к врачу-терапевту участковому с жалобами на ;_
1122;1122;головокружение ;патологический признак
1123;1123;, ;_
1124;1127;перебои в работе сердца ;патологический признак[39]
1128;1128;, ;_
1129;1134;мелькание « мушек » перед глазами ;патологический признак[40]
1135;1168;. В течение 5 лет страдает гипертонической болезнью , эпизодически при повышении АД принимает Каптоприл . Сегодня после тяжѐлой физической нагрузки ( поднял шкаф на 2 этаж ) появилось подобное состояние . Объективно : ;_
1169;1176;кожные покровы лица и верхней половины туловища гиперемированы ;патологический признак[41]
1177;1177;. ;_
1178;1180;Тоны сердца аритмичные ;патологический признак[42]
1181;1181;, ;_
1182;1187;ЧСС – 120 уд / мин ;патологический признак[43]
1188;1188;, ;_
1189;1190;частые экстрасистолы ;патологический признак[44]
1191;1191;. ;_
1192;1199;АД – 180 / 100 мм рт ст ;патологический признак[45]
1200;1200;. ;_
1201;1207;В лѐгких дыхание проводится во все отделы ;физиологический признак[46]
1208;1208;, ;_
1209;1211;хрипов не слышно ;физиологический признак[47]
1212;1212;, ;_
1213;1217;ЧД – 18 в мин ;физиологический признак[48]
1218;1218;. ;_
1219;1221;Периферических отѐков нет ;физиологический признак[49]
1222;1225;. На ЭКГ : ;_
1226;1227;синусовый ритм ;физиологический признак[50]
1228;1228;, ;_
1229;1232;прерываемый частыми предсердными экстрасистолами ;патологический признак[51]
1233;1233;, ;_
1234;1237;признаки гипертрофии левого желудочка ;патологический признак[52]
1238;1238;, ;_
1239;1244;ЧСС – 120 уд / мин ;патологический признак[53]
1245;1336;. Вопросы : 1 . Выделите ведущие клинические синдромы . 2 . Поставьте диагноз . 3 . Обоснуйте поставленный Вами диагноз . 4 . Препараты выбора для купирования гипертонического криза у данного больного . Обоснуйте свой выбор . 5 . Плановое лечение гипертонической болезни у данного больного . СЗ_Лечебное дело ( ч .4 ) – 2017 340 СИТУАЦИОННАЯ ЗАДАЧА 276 [ K000317 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть Больная В . 38 лет обратилась за консультацией к врачу-терапевту участковому с жалобами на появление участков ;_
1337;1346;покраснения в области передней поверхности левого бедра , правого плеча ;патологический признак[54]
1347;1347;, ;_
1348;1352;боль в левом тазобедренном суставе ;патологический признак[55]
1353;1367;. Анамнез болезни : врачом выяснено , что заболела четыре месяца назад , когда обнаружила ;_
1368;1374;красное пятно на передней поверхности левого бедра ;патологический признак[56]
1375;1391;, которое в течение 2 – 3 дней резко увеличивалось в размере . В области эритемы отмечался ;_
1392;1393;лѐгкий зуд ;патологический признак[57]
1394;1437;, общее самочувствие не нарушалось . Проводилось обследование у врача-дерматолога , получала местное лечение ( препараты назвать затрудняется ) , принимала антигистаминные средства , улучшения не отмечалось . Через три месяца подобное изменение на коже появилось на правом плече . Через четыре месяца появилась ;_
1438;1442;боль в левом тазобедренном суставе ;патологический признак[58]
1443;1443;. ;_
1444;1451;Боль в суставе выраженная , трудно было ходить ;патологический признак[59]
1452;1506;, по поводу чего больная проходила обследование и лечение в ревматологическом отделении , без улучшения . Направлена на консультацию к инфекционисту . Эпидемиологический анамнез : за 12 дней до появления эритемы на бедре была в лесу , на следующий день обнаружила присосавшегося клеща на передней поверхности левого бедра , которого удалила пинцетом . Объективно : ;_
1507;1508;состояние удовлетворительное ;физиологический признак[60]
1509;1509;. ;_
1510;1513;Кожные покровы обычной окраски ;физиологический признак[61]
1514;1515;, выявлен ;_
1516;1549;участок гиперемии кольцевидной формы 25 см в диаметре на передней поверхности левого бедра и 15 см на правом плече , с интенсивно красными и поднимающимися над непоражѐнной кожей краями , в центре эритема бледная ;патологический признак[62]
1550;1550;. ;_
1551;1559;Местного повышения температуры , болезненности в области эритемы нет ;физиологический признак[63]
1560;1560;. ;_
1561;1565;Над левым тазобедренным суставом отѐка ;физиологический признак[64]
1566;1566;, ;_
1567;1568;гиперемии нет ;физиологический признак[65]
1569;1571;. В лѐгких ;_
1572;1573;дыхание везикулярное ;физиологический признак[66]
1574;1574;, ;_
1575;1576;хрипов нет ;физиологический признак[67]
1577;1577;. ;_
1578;1580;Тоны сердца ясные ;физиологический признак[68]
1581;1581;, ;_
1582;1582;ритмичные ;физиологический признак
1583;1583;, ;_
1584;1589;ЧСС – 70 уд / мин ;физиологический признак[69]
1590;1590;, ;_
1591;1599;АД – 120 / 80 мм рт . ст ;физиологический признак[70]
1600;1600;. ;_
1601;1602;Живот мягкий ;физиологический признак[71]
1603;1603;, ;_
1604;1609;при пальпации безболезненный во всех отделах ;физиологический признак[72]
1610;1610;. ;_
1611;1611;Печень ;физиологический признак
1612;1612;и ;_
1613;1615;селезѐнка не увеличены ;физиологический признак[73]
1616;1616;. ;_
1617;1624;Поколачивание по поясничной области безболезненное с обеих сторон ;физиологический признак[74]
1625;1724;. Вопросы : 1 . Предположите наиболее вероятный диагноз . 2 . Обоснуйте поставленный Вами диагноз . 3 . Составьте и обоснуйте план обследования пациента . 4 . Препараты каких групп Вы бы рекомендовали пациенту в качестве этиотропной терапии . Определите курс лечения . Обоснуйте свой выбор . 5 . Назовите методы профилактики данного заболевания . СЗ_Лечебное дело ( ч .4 ) – 2017 341 СИТУАЦИОННАЯ ЗАДАЧА 277 [ K000320 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть Больной М . 27 лет обратился к врачу-терапевту участковому на 2 день болезни с жалобами на ;_
1725;1730;сильную головную боль в лобной области ;патологический признак[75]
1731;1731;, ;_
1732;1735;боли в глазных яблоках ;патологический признак[76]
1736;1736;, ;_
1737;1737;мышцах ;патологический признак
1738;1738;и ;_
1739;1739;суставах ;патологический признак
1740;1740;, ;_
1741;1742;общую слабость ;патологический признак[77]
1743;1743;, ;_
1744;1745;отсутствие аппетита ;патологический признак[78]
1746;1746;, ;_
1747;1749;частый сухой кашель ;патологический признак[79]
1750;1750;, ;_
1751;1752;заложенность носа ;патологический признак[80]
1753;1753;и ;_
1754;1757;незначительные выделения из носа ;патологический признак[81]
1758;1758;, ;_
1759;1764;чувство першения и царапанье за грудиной ;патологический признак[82]
1765;1778;. Анамнез заболевания : заболел 15.01 . в первой половине дня , когда почувствовал ;_
1779;1779;озноб ;патологический признак
1780;1780;, ;_
1781;1786;повысилась температура до 39,0 ° С ;патологический признак[83]
1787;1788;, появилась ;_
1789;1793;головная боль в области лба ;патологический признак[84]
1794;1794;, ;_
1795;1799;боль при движении глазными яблоками ;патологический признак[85]
1800;1806;. Ночью не спал , озноб сменялся ;_
1807;1808;чувством жара ;патологический признак[86]
1809;1813;. На следующий день появился ;_
1814;1815;сухой кашель ;патологический признак[87]
1816;1816;, ;_
1817;1818;заложенность носа ;патологический признак[88]
1819;1819;, ;_
1820;1823;чувство першения за грудиной ;патологический признак[89]
1824;1824;, ;_
1825;1830;температура повысилась до 39,5 ° С ;патологический признак[90]
1831;1831;, ;_
1832;1834;головная боль усилилась ;патологический признак[91]
1835;1863;. Эпидемиологический анамнез : за 2 дня до заболевания навещал друзей в общежитии , среди которых были лица с подобными симптомами . Объективно : состояние средней степени тяжести , ;_
1864;1865;сознание ясное ;физиологический признак[92]
1866;1866;. ;_
1867;1868;Лицо одутловатое ;патологический признак[93]
1869;1869;, ;_
1870;1871;несколько гиперемировано ;патологический признак[94]
1872;1872;. ;_
1873;1876;На теле сыпи нет ;физиологический признак[95]
1877;1877;. ;_
1878;1880;Носовое дыхание затруднено ;патологический признак[96]
1881;1881;. ;_
1882;1892;В зеве разлитая яркая гиперемия задней стенки глотки и еѐ зернистость ;патологический признак[97]
1893;1894;, отмечаются ;_
1895;1900;единичные кровоизлияния на слизистой мягкого нѐба ;патологический признак[98]
1901;1901;. ;_
1902;1906;В лѐгких – жѐсткое дыхание ;патологический признак[99]
1907;1907;, ;_
1908;1910;единичные сухие хрипы ;патологический признак[100]
1911;1911;. ;_
1912;1917;Пульс – 102 уд / мин ;патологический признак[101]
1918;1918;, ;_
1919;1919;ритмичный ;физиологический признак
1920;1920;, ;_
1921;1928;АД – 115 / 80 мм рт.ст . ;физиологический признак[102]
1929;1931;Тоны сердца приглушены ;патологический признак[103]
1932;1932;. ;_
1933;1934;Живот мягкий ;физиологический признак[104]
1935;1935;, ;_
1936;1936;безболезненный ;физиологический признак
1937;1937;. ;_
1938;1938;Печень ;физиологический признак
1939;1939;и ;_
1940;1942;селезѐнка не увеличены ;физиологический признак[105]
1943;2054;. Вопросы : 1 . Предположите наиболее вероятный диагноз . 2 . Обоснуйте поставленный Вами диагноз . 3 . Составьте план лабораторного обследования больного для верификации диагноза . 4 . Какие противовирусные препараты Вы бы рекомендовали пациенту ? Назовите механизм их действия на вирусы гриппа . Обоснуйте свой выбор . 5 . Кто подлежит обязательной вакцинации против гриппа ? Назовите современные вакцины для профилактики гриппа . СЗ_Лечебное дело ( ч .4 ) – 2017 342 СИТУАЦИОННАЯ ЗАДАЧА 278 [ K000321 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть Больной М . 16 лет направлен с приѐма в поликлинике в инфекционную больницу 20.08 . с жалобами на ;_
2055;2056;плохой аппетит ;патологический признак[106]
2057;2057;, ;_
2058;2062;ноющие боли в правом подреберье ;патологический признак[107]
2063;2063;, ;_
2064;2065;потемнение мочи ;патологический признак[108]
2066;2066;, ;_
2067;2069;желтушную окраску кожи ;патологический признак[109]
2070;2070;и ;_
2071;2071;склер ;патологический признак
2072;2080;. Анамнез болезни : заболел 14.08 . , когда ;_
2081;2087;повысилась температура до 38 ° С , ;патологический признак[110]
2088;2088;появилась ;_
2089;2090;головная боль ;патологический признак[111]
2091;2091;, ;_
2092;2092;тошнота ;патологический признак
2093;2094;, двукратная ;_
2095;2095;рвота ;патологический признак
2096;2100;. Все последующие дни сохранялась ;_
2101;2108;температура в пределах 37,6 – 38 ° С ;патологический признак[112]
2109;2110;, беспокоила ;_
2111;2112;общая слабость ;патологический признак[113]
2113;2113;, ;_
2114;2115;головная боль ;патологический признак[114]
2116;2116;, ;_
2117;2117;тошнота ;патологический признак
2118;2118;, ;_
2119;2120;плохой аппетит ;патологический признак[115]
2121;2124;. 19.08 . заметил ;_
2125;2126;потемнение мочи ;патологический признак[116]
2127;2127;и ;_
2128;2129;посветление кала ;патологический признак[117]
2130;2133;. 20.08 . появилась ;_
2134;2135;желтушность кожи ;патологический признак[118]
2136;2136;и ;_
2137;2137;склер ;патологический признак
2138;2167;. Эпидемиологический анамнез : живѐт в студенческом общежитии , в комнате 4 человека . Периодически питается в столовой по месту учѐбы . Объективно : общее состояние средней степени тяжести . ;_
2168;2171;Температура 37,5 ° С ;патологический признак[119]
2172;2172;. ;_
2173;2174;Кожные покровы ;патологический признак[120]
2175;2175;и ;_
2176;2178;склеры умеренно желтушны ;патологический признак[121]
2179;2179;, ;_
2180;2181;сыпи нет ;физиологический признак[122]
2182;2182;. ;_
2183;2186;Периферические лимфоузлы не пальпируются ;физиологический признак[123]
2187;2187;. ;_
2188;2191;В лѐгких дыхание везикулярное ;физиологический признак[124]
2192;2192;, ;_
2193;2194;хрипов нет ;физиологический признак[125]
2195;2195;, ;_
2196;2200;ЧД – 16 в мин ;физиологический признак[126]
2201;2201;. ;_
2202;2204;Тоны сердца приглушены ;патологический признак[127]
2205;2205;, ;_
2206;2207;ритм правильный ;физиологический признак[128]
2208;2208;. ;_
2209;2214;Пульс – 64 уд / мин ;физиологический признак[129]
2215;2215;, ;_
2216;2225;АД – 100 / 60 мм рт . ст . ;патологический признак[130]
2226;2227;Язык влажный ;физиологический признак[131]
2228;2228;, ;_
2229;2233;обложен у корня белым налѐтом ;патологический признак[132]
2234;2234;. ;_
2235;2237;Живот не вздут ;физиологический признак[133]
2238;2238;, ;_
2239;2239;мягкий ;физиологический признак
2240;2240;, ;_
2241;2241;безболезненный ;физиологический признак
2242;2242;. ;_
2243;2251;Печень выступает на 2 см из-под края рѐберной дуги ;патологический признак[134]
2252;2252;, ;_
2253;2255;чувствительная при пальпации ;патологический признак[135]
2256;2256;. ;_
2257;2258;Пальпируется селезѐнка ;патологический признак[136]
2259;2259;. ;_
2260;2267;Поколачивание по поясничной области отрицательное с обеих сторон ;физиологический признак[137]
2268;2271;. Биохимические показатели : ;_
2272;2278;билирубин общий – 160 ммоль / л ;патологический признак[138]
2279;2279;, ;_
2280;2285;прямой – 102 ммоль / л ;патологический признак[139]
2286;2286;, ;_
2287;2292;непрямой – 58 ммоль / л ;патологический признак[140]
2293;2293;, ;_
2294;2299;АлТ – 640 МЕ / л ;патологический признак[141]
2300;2300;, ;_
2301;2306;АсТ – 488 ммоль / л ;патологический признак[142]
2307;2307;, ;_
2308;2312;щѐлочная фосфатаза – 102 ед ;патологический признак[143]
2313;2313;, ;_
2314;2317;протромбиновый индекс – 60% ;патологический признак[144]
2318;2318;. ;_
2319;2324;В анализе мочи определяются желчные пигменты ;патологический признак[145]
2325;2431;. Вопросы : 1 . Предположите наиболее вероятный диагноз . 2 . Обоснуйте поставленный Вами диагноз . 3 . Составьте и обоснуйте план дополнительного обследования пациента . 4 . Тактика ведения пациента . Обоснуйте свой выбор . 5 . Назовите методы профилактики данного заболевания . СЗ_Лечебное дело ( ч .4 ) – 2017 343 СИТУАЦИОННАЯ ЗАДАЧА 279 [ K000323 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть Больной Е . 32 года , бизнесмен , госпитализирован на 2 день болезни с диагнозом « грипп , гипертоксическая форма » . Заболевание началось остро , даже внезапно . На фоне нормального самочувствия появился ;_
2432;2432;озноб ;патологический признак
2433;2433;, ;_
2434;2435;заболела голова ;патологический признак[146]
2436;2436;, ;_
2437;2442;повысилась температура тела до 40,2 ºС ;патологический признак[147]
2443;2443;. ;_
2444;2445;Отмечал светобоязнь ;патологический признак[148]
2446;2458;, лежал с закрытыми глазами , просил выключить телевизор . Вечером была дважды ;_
2459;2459;рвота ;патологический признак
2460;2461;, сохранялась ;_
2462;2466;« пульсирующая » головная боль ;патологический признак[149]
2467;2473;. Утром следующего дня самочувствие ухудшилось : ;_
2474;2478;не понимал , где находится ;патологический признак[150]
2479;2479;, ;_
2480;2483;стремился пойти на работу ;патологический признак[151]
2484;2484;, ;_
2485;2488;при попытке встать упал ;патологический признак[152]
2489;2494;. При поступлении состояние тяжѐлое , ;_
2495;2496;сознание затемнено ;патологический признак[153]
2497;2497;. ;_
2498;2498;Дезориентирован ;патологический признак
2499;2499;, ;_
2500;2504;но отзывается на своѐ имя ;физиологический признак[154]
2505;2507;, жалуется на ;_
2508;2510;сильную головную боль ;патологический признак[155]
2511;2511;. ;_
2512;2516;Температура тела 39,2 ° С ;патологический признак[156]
2517;2517;. ;_
2518;2520;Лицо очень бледное ;патологический признак[157]
2521;2522;. На ;_
2523;2534;коже живота , ягодиц и нижних конечностей мелкая звѐздчатая сыпь сине-фиолетового цвета ;патологический признак[158]
2535;2537;, имеются также ;_
2538;2541;петехиальные элементы на руках ;патологический признак[159]
2542;2542;. ;_
2543;2547;Резко выражены ригидность затылочных мышц ;патологический признак[160]
2548;2548;и ;_
2549;2550;симптом Кернига ;патологический признак[161]
2551;2551;. ;_
2552;2557;Пульс – 116 уд / мин ;патологический признак[162]
2558;2558;, ;_
2559;2559;ритмичный ;физиологический признак
2560;2560;, ;_
2561;2570;АД – 130 / 90 мм рт . ст . ;патологический признак[163]
2571;2573;Тоны сердца ясные ;физиологический признак[164]
2574;2574;. ;_
2575;2581;При спинномозговой пункции получена под высоким давлением ;патологический признак[165]
2582;2583;мутная жидкость ;патологический признак[166]
2584;2595;с высоким нейтрофильным ( 99% ) плеоцитозом – 15400 кл / мл ;патологический признак[167]
2596;2596;"; ";_
2597;2602;белок – 2,64 г / л ;патологический признак[168]
2603;2603;"; ";_
2604;2611;реакция Панди ( + + + + ) ;патологический признак[169]
2612;2655;. Вопросы : 1 . Предположите наиболее вероятный диагноз . 2 . Обоснуйте поставленный Вами диагноз . 3 . Составьте и обоснуйте план дополнительного обследования пациента . 4 . Укажите план лечения данного пациента . 5 . Через 1 месяц у больного жалобы на ;_
2656;2657;умеренную слабость ;патологический признак[170]
2658;2658;, ;_
2659;2661;умеренную головную боль ;патологический признак[171]
2662;2662;, ;_
2663;2664;снижение работоспособности ;патологический признак[172]
2665;2666;, иногда ;_
2667;2667;головокружение ;патологический признак
2668;2668;. ;_
2669;2671;Миндалины не увеличены ;физиологический признак[173]
2672;2672;, ;_
2673;2674;налѐтов нет ;физиологический признак[174]
2675;2675;. ;_
2676;2682;АД – 100 / 60 мм рт.ст ;патологический признак[175]
2683;2684;. , ;_
2685;2690;пульс – 76 уд / мин ;физиологический признак[176]
2691;2693;. Контрольный бакТериальный ;_
2694;2701;посев мазка из ротоглотки и из носа отрицательный ;физиологический признак[177]
2702;2707;. В общем анализе мочи повышение ;_
2708;2713;СОЭ – 26 мм / час ;патологический признак[178]
2714;2759;. Какова дальнейшая тактика ведения пациента ? СЗ_Лечебное дело ( ч .4 ) – 2017 344 СИТУАЦИОННАЯ ЗАДАЧА 280 [ K000324 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть У студента , навестившего больного товарища , на 2 сутки появились ;_
2760;2760;озноб ;патологический признак
2761;2761;, ;_
2762;2766;температура тела 39,1 ° С ;патологический признак[179]
2767;2768;, сильная ;_
2769;2773;головная боль в лобной области ;патологический признак[180]
2774;2774;, ;_
2775;2782;боли в глазных яблоках , мышцах и суставах ;патологический признак[181]
2783;2783;, ;_
2784;2784;тошнота ;патологический признак
2785;2785;, ;_
2786;2786;слабость ;патологический признак
2787;2787;, ;_
2788;2789;отсутствие аппетита ;патологический признак[182]
2790;2796;. К концу 1 дня болезни появились ;_
2797;2798;заложенность носа ;патологический признак[183]
2799;2799;, ;_
2800;2802;першение в горле ;патологический признак[184]
2803;2803;, ;_
2804;2806;сухой надсадный кашель ;патологический признак[185]
